# ESP8 function entries: 0xADDR,<T|A> (Thumb/ARM). Mixed-ISA RE metadata only.
# Recreated by EspCreateFns.java (sets TMode per Thumb entry) in reproduce.sh.
0x00066404,T
0x00066414,T
0x00066478,T
0x0006674e,T
0x00066778,T
0x00066848,A
0x00066c28,A
0x00066fe0,A
0x00067310,A
0x000673a0,A
0x00067540,A
0x00067760,A
0x00067b1c,T
0x00067ed4,A
0x00068284,A
0x000682b0,A
0x00068344,A
0x00068350,A
0x00068374,A
0x00068634,T
0x00068640,T
0x000686c6,T
0x0006876e,T
0x000687e2,T
0x00068804,T
0x000688b6,T
0x000688c0,T
0x000688ca,T
0x000689b0,T
0x000689b8,T
0x000689c6,T
0x000689e4,T
0x00068d90,A
0x00069138,A
0x0006945c,A
0x000694e0,A
0x00069880,A
0x000699c0,A
0x00069adc,A
0x00069c20,A
0x00069fc0,A
0x0006a35c,A
0x0006a6f4,T
0x0006a71c,T
0x0006a9d4,T
0x0006aa84,T
0x0006ab2a,T
0x0006ac0e,T
0x0006acd8,T
0x0006ae10,T
0x0006b194,A
0x0006b404,A
0x0006b514,T
0x0006b528,T
0x0006b544,T
0x0006b550,T
0x0006b652,T
0x0006b66e,T
0x0006b670,T
0x0006b68a,T
0x0006b69a,T
0x0006b6a4,T
0x0006b6b8,T
0x0006b6c4,T
0x0006b6d0,T
0x0006b84c,T
0x0006b852,T
0x0006b858,T
0x0006b85a,T
0x0006b85c,T
0x0006b85e,T
0x0006b860,T
0x0006b862,T
0x0006b864,T
0x0006b890,T
0x0006b8b6,T
0x0006b8e8,T
0x0006b908,T
0x0006b936,T
0x0006bac0,T
0x0006bb22,T
0x0006bc08,A
0x0006bdd0,A
0x0006bf80,T
0x0006bfc2,T
0x0006c2f4,A
0x0006c664,A
0x0006c9d0,T
0x0006cd3c,T
0x0006d0a4,T
0x0006d232,T
0x0006d252,T
0x0006d272,T
0x0006d3c0,T
0x0006d40c,T
0x0006d448,T
0x0006d770,T
0x0006d774,T
0x0006d7bc,T
0x0006d7d8,T
0x0006d81a,T
0x0006d964,T
0x0006d99a,T
0x0006da16,T
0x0006da22,T
0x0006da2e,T
0x0006da3a,T
0x0006da46,T
0x0006dad4,A
0x0006dc34,T
0x0006dcb0,T
0x0006dd88,A
0x0006de38,A
0x0006dff4,A
0x0006e004,A
0x0006e014,A
0x0006e08c,A
0x0006e0ce,T
0x0006e0dc,T
0x0006e0de,T
0x0006e0e8,T
0x0006e0ec,A
0x0006e112,T
0x0006e124,T
0x0006e13e,T
0x0006e198,A
0x0006e328,A
0x0006e460,A
0x0006e4f4,T
0x0006e75a,T
0x0006e770,T
0x0006e7de,T
0x0006e850,T
0x0006e892,T
0x0006e8a2,T
0x0006e98a,T
0x0006e9ec,T
0x0006ea12,T
0x0006eb4e,T
0x0006eba8,T
0x0006eef8,A
0x0006ef3c,A
0x0006efdc,A
0x0006f0c8,A
0x0006f234,T
0x0006f246,T
0x0006f318,T
0x0006f36e,T
0x0006f3c6,T
0x0006f56c,A
0x0006f5b8,A
